data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
07/01/2017 00:00;09:03:00.0000000;34;MASCULINO;CONDUTOR;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SABADO;MANHA;26 A 35;MOTOCICLETA
07/01/2017 00:00;09:03:00.0000000;33;FEMININO;OCUPANTE;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SABADO;MANHA;26 A 35;MOTOCICLETA
07/01/2017 00:00;09:00:00.0000000;50;MASCULINO;OCUPANTE;AV MONTE CRISTO;QUEDA;0;0;0;0;0;0;1;0;0;0;0;SABADO;MANHA;46 A 59;NENHUM
07/01/2017 00:00;19:30:00.0000000;3;MASCULINO;OCUPANTE;AV SERTORIO;ABALROAMENTO;1;0;0;0;1;0;0;0;0;0;0;SABADO;NOITE;0 A 10;AUTOMOVEL
07/01/2017 00:00;16:30:00.0000000;65;FEMININO;OCUPANTE;R DONA AUGUSTA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;SABADO;TARDE;60 +;AUTOMOVEL
07/01/2017 00:00;16:30:00.0000000;73;MASCULINO;CONDUTOR;R DONA AUGUSTA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;SABADO;TARDE;60 +;AUTOMOVEL
07/01/2017 00:00;22:00:00.0000000;40;MASCULINO;OCUPANTE;R HUMBERTO DE CAMPOS;QUEDA;0;0;0;0;0;0;1;0;0;0;0;SABADO;NOITE;36 A 45;MOTOCICLETA
08/01/2017 00:00;12:00:00.0000000;38;FEMININO;OCUPANTE;AV JUCA BATISTA;ABALROAMENTO;2;0;0;0;0;0;0;0;0;0;0;DOMINGO;TARDE;36 A 45;AUTOMOVEL
08/01/2017 00:00;18:00:00.0000000;31;MASCULINO;CONDUTOR;AV JUCA BATISTA;QUEDA;0;0;0;0;0;0;1;0;0;0;0;DOMINGO;NOITE;26 A 35;MOTOCICLETA
08/01/2017 00:00;09:00:00.0000000;38;MASCULINO;OCUPANTE;AV JUCA BATISTA;ABALROAMENTO;0;0;0;0;0;1;1;0;0;0;0;DOMINGO;MANHA;36 A 45;MOTOCICLETA
08/01/2017 00:00;17:50:00.0000000;27;MASCULINO;CONDUTOR;AV PROTASIO ALVES;CHOQUE;0;0;0;0;0;0;1;0;0;0;0;DOMINGO;TARDE;26 A 35;MOTOCICLETA
08/01/2017 00:00;15:00:00.0000000;55;MASCULINO;CONDUTOR;ESTR OTAVIANO JOSE PINTO;CHOQUE;1;0;0;0;0;0;0;0;0;0;0;DOMINGO;TARDE;46 A 59;AUTOMOVEL
08/01/2017 00:00;15:00:00.0000000;55;MASCULINO;CONDUTOR;ESTR OTAVIANO JOSE PINTO;CHOQUE;1;0;0;0;0;0;0;0;0;0;0;DOMINGO;TARDE;46 A 59;AUTOMOVEL
08/01/2017 00:00;10:00:00.0000000;29;MASCULINO;CONDUTOR;R EDU CHAVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;DOMINGO;MANHA;26 A 35;MOTOCICLETA
08/01/2017 00:00;02:45:00.0000000;43;MASCULINO;CONDUTOR;R MIGUEL TOSTES;CHOQUE;2;0;0;0;0;0;0;0;0;0;0;DOMINGO;MADRUGADA;36 A 45;AUTOMOVEL
09/01/2017 00:00;05:15:00.0000000;46;FEMININO;OCUPANTE;AV ASSIS BRASIL;COLISAO;1;0;0;0;0;1;0;0;0;0;0;SEGUNDA-FEIRA;MADRUGADA;46 A 59;NENHUM
09/01/2017 00:00;06:45:00.0000000;37;FEMININO;CONDUTOR;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;MANHA;36 A 45;MOTOCICLETA
09/01/2017 00:00;15:00:00.0000000;29;FEMININO;CONDUTOR;AV DA SERRARIA;ABALROAMENTO;1;0;1;0;0;0;0;0;0;0;0;SEGUNDA-FEIRA;TARDE;26 A 35;AUTOMOVEL
09/01/2017 00:00;19:15:00.0000000;42;MASCULINO;CONDUTOR;AV PROTASIO ALVES;COLISAO;1;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;NOITE;36 A 45;MOTOCICLETA
09/01/2017 00:00;21:30:00.0000000;51;MASCULINO;PEDESTRE;AV PROTASIO ALVES;ATROPELAMENTO;0;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;NOITE;46 A 59;NENHUM
09/01/2017 00:00;22:35:00.0000000;32;MASCULINO;CONDUTOR;AV WENCESLAU ESCOBAR;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;NOITE;26 A 35;MOTOCICLETA
09/01/2017 00:00;13:00:00.0000000;25;FEMININO;CONDUTOR;R ALBERTO SILVA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;SEGUNDA-FEIRA;TARDE;18 A 25;MOTOCICLETA
09/01/2017 00:00;10:15:00.0000000;28;MASCULINO;OCUPANTE;R DR ILDEFONSO PINTO;ABALROAMENTO;1;0;0;0;0;1;0;0;0;0;0;SEGUNDA-FEIRA;MANHA;26 A 35;CAMINHAO
09/01/2017 00:00;18:00:00.0000000;41;FEMININO;OCUPANTE;R GOVERNADOR PERACCHI BARCELLOS;COLISAO;2;0;0;0;0;0;0;0;0;0;0;SEGUNDA-FEIRA;NOITE;36 A 45;AUTOMOVEL
